,Gen,NbVert,NbActR,NbTeamR,MinTraining,AvgTraining,MaxTraining,MinTrainingScore,AvgTrainingScore,MaxTrainingScore,MinValidation,AvgValidation,MaxValidation,MinValidationScore,AvgValidationScore,MaxValidationScore,T_eval,T_valid,T_decim,T_mutat,T_total,ValidationScoreObs0,ValidationScoreObs01,ValidationScoreObs1,ValidationSuccessObs0,ValidationSuccessObs01,ValidationSuccessObs1,environment,seed,folder,Type,taskGroup,ValidationScoreObs014,ValidationScoreObs4,ValidationSuccessObs014,ValidationSuccessObs4
0,0,1000,1000,0,-1143.48,-135.36,-3.96,-882.74,-12.03,79.72,-210.03,-98.5,-17.67,-95.19,27.27,79.7,8.07,8.98,0.04,9.06,17.23,81.4907,78.5548,84.581,0.0,0.0,0.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
1,50,1000,1000,0,-1203.94,-212.07,-59.13,-756.4,67.17,171.91,-13.26,-136.35,-52.59,49.41,143.03,202.26,8.95,8.5,0.03,8.55,480.26,72.6988,71.5061,468.794,0.0,0.0,1.8,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
2,100,1000,1000,0,-850.64,-40.1,30.24,-484.77,238.04,361.69,-237.22,-100.05,-60.04,64.97,194.01,215.36,8.85,9.3,0.03,9.35,940.78,75.0996,72.9092,502.915,0.0,0.0,2.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
3,150,1000,1000,0,-1134.14,-198.5,-101.98,-760.71,84.8,177.49,-302.07,-113.58,-98.62,8.65,183.24,222.69,9.17,8.62,0.02,8.65,1410.89,74.3063,71.8685,524.94,0.0,0.0,2.0,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
4,200,1000,1000,0,-777.8,-90.27,12.42,-590.95,209.27,325.37,-180.13,-106.64,-45.51,11.98,208.5,240.58,8.72,8.73,0.04,8.78,1883.21,73.0823,71.9994,575.195,0.0,0.0,2.2,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
5,250,1000,1000,0,-1069.43,-174.51,-57.01,-702.31,127.76,262.02,-432.32,-97.88,-57.87,-151.63,217.86,261.5,8.9,8.64,0.02,8.7,2361.09,72.9503,72.085,623.398,0.0,0.0,2.8,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
6,300,1000,1000,0,-1002.93,-158.16,-79.52,-700.71,149.9,240.15,-244.66,-97.23,-62.52,50.43,225.11,270.51,9.23,8.9,0.04,8.95,2839.29,73.0904,72.2658,655.707,0.0,0.0,2.8,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
7,350,1000,1000,0,-966.75,-223.6,-19.93,-603.32,86.89,305.17,-534.06,-108.13,-53.08,-158.62,216.18,268.02,8.8,10.25,0.03,10.42,3319.32,73.6584,72.3916,647.209,0.0,0.0,2.8,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
8,400,1000,1000,0,-1344.76,-182.97,-65.74,-876.91,129.89,250.21,-108.46,-95.15,-69.01,58.23,231.07,266.7,9.15,9.4,0.04,9.45,3794.8,73.4795,72.7806,649.368,0.0,0.0,2.8,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
9,450,1000,1000,0,-1337.75,-108.31,-15.89,-860.79,212.11,312.21,-229.84,-104.47,-67.47,51.55,226.67,269.4,9.31,8.63,0.04,8.68,4270.0,74.0459,73.0517,662.781,0.0,0.0,2.8,half_cheetah,0,Tourn.MAPLE,Naive,twoTasks,,,,
