environment,obstacleTrain,,seedTraining,seedTesting,score,success,bodyChanged
half_cheetah,none,,0,0,121.434,0.0,"classic"
half_cheetah,none,,0,10,1232.25,6.0,"classic"
half_cheetah,none,,0,14,4352.26,23.0,"classic"
half_cheetah,none,,0,3,4142.29,22.0,"classic"
half_cheetah,none,,0,4,2224.22,12.0,"classic"
half_cheetah,none,,0,1,4261.11,23.0,"classic"
half_cheetah,none,,0,5,4257.27,23.0,"classic"
half_cheetah,none,,0,6,4289.77,23.0,"classic"
half_cheetah,none,,0,12,4321.27,23.0,"classic"
half_cheetah,none,,0,9,3969.23,21.0,"classic"
half_cheetah,none,,0,15,4202.71,23.0,"classic"
half_cheetah,none,,0,13,4099.69,22.0,"classic"
half_cheetah,none,,0,7,4241.82,23.0,"classic"
half_cheetah,none,,0,2,4273.1,23.0,"classic"
half_cheetah,none,,0,11,4255.34,23.0,"classic"
half_cheetah,none,,0,8,4349.85,23.0,"classic"
half_cheetah,none,,0,17,4243.45,23.0,"classic"
half_cheetah,none,,0,16,4132.8,22.0,"classic"
half_cheetah,none,,0,20,3987.65,22.0,"classic"
half_cheetah,none,,0,19,4203.04,23.0,"classic"
half_cheetah,none,,0,23,4159.64,22.0,"classic"
half_cheetah,none,,0,26,4105.18,22.0,"classic"
half_cheetah,none,,0,22,4346.87,23.0,"classic"
half_cheetah,none,,0,25,3797.31,21.0,"classic"
half_cheetah,none,,0,18,3699.68,20.0,"classic"
half_cheetah,none,,0,27,4274.47,23.0,"classic"
half_cheetah,none,,0,24,4381.72,24.0,"classic"
half_cheetah,none,,1,1,3587.27,19.0,"classic"
half_cheetah,none,,0,28,4328.75,23.0,"classic"
half_cheetah,none,,1,0,3694.27,20.0,"classic"
half_cheetah,none,,0,29,2041.85,11.0,"classic"
half_cheetah,none,,0,21,4248.64,23.0,"classic"
half_cheetah,none,,1,3,3548.77,19.0,"classic"
half_cheetah,none,,1,2,3576.25,19.0,"classic"
half_cheetah,none,,1,10,3711.69,20.0,"classic"
half_cheetah,none,,1,12,394.053,2.0,"classic"
half_cheetah,none,,1,9,3468.27,19.0,"classic"
half_cheetah,none,,1,6,3723.81,20.0,"classic"
half_cheetah,none,,1,8,3022.1,16.0,"classic"
half_cheetah,none,,1,4,3694.78,20.0,"classic"
half_cheetah,none,,1,13,3631.45,20.0,"classic"
half_cheetah,none,,1,14,2964.26,16.0,"classic"
half_cheetah,none,,1,5,3731.24,20.0,"classic"
half_cheetah,none,,1,17,3643.54,20.0,"classic"
half_cheetah,none,,1,15,3608.8,20.0,"classic"
half_cheetah,none,,1,7,3511.77,19.0,"classic"
half_cheetah,none,,1,11,3676.26,20.0,"classic"
