environment,obstacleTrain,obstacleTest,seedTraining,seedTesting,score,success
half_cheetah,0,0,0,9,728.114,3.0
half_cheetah,0,0,1,4,795.749,3.0
half_cheetah,0,0,0,0,539.777,2.0
half_cheetah,0,0,0,1,659.073,3.0
half_cheetah,0,0,1,3,686.465,3.0
half_cheetah,0,0,1,0,730.484,3.0
half_cheetah,0,0,0,5,117.353,0.0
half_cheetah,0,0,0,8,341.212,1.0
half_cheetah,0,0,0,6,834.748,4.0
half_cheetah,0,0,1,1,637.042,3.0
half_cheetah,0,0,0,4,657.557,3.0
half_cheetah,0,0,0,2,651.607,3.0
half_cheetah,0,0,0,7,544.538,2.0
half_cheetah,0,0,0,3,669.286,3.0
half_cheetah,0,0,1,2,999.157,4.0
half_cheetah,0,0,1,5,694.983,3.0
half_cheetah,0,0,1,8,587.945,2.0
half_cheetah,0,0,2,0,86.3746,0.0
half_cheetah,0,0,1,6,720.147,3.0
half_cheetah,0,0,2,1,666.646,3.0
half_cheetah,0,0,1,9,527.591,2.0
half_cheetah,0,0,2,3,91.0543,0.0
half_cheetah,0,0,1,7,719.788,3.0
half_cheetah,0,0,2,6,479.071,2.0
half_cheetah,0,0,2,4,534.664,2.0
half_cheetah,0,0,2,5,309.319,1.0
half_cheetah,0,0,2,9,447.815,2.0
half_cheetah,0,0,3,1,657.873,3.0
half_cheetah,0,0,2,2,715.71,3.0
half_cheetah,0,0,3,0,945.503,4.0
half_cheetah,0,0,2,8,783.971,3.0
half_cheetah,0,0,2,7,767.25,3.0
half_cheetah,0,0,3,4,953.462,4.0
half_cheetah,0,0,3,2,1065.06,5.0
half_cheetah,0,0,3,3,880.561,4.0
half_cheetah,0,0,4,1,1124.99,5.0
half_cheetah,0,0,3,5,951.152,4.0
half_cheetah,0,0,3,7,844.344,4.0
half_cheetah,0,0,3,9,1322.88,6.0
half_cheetah,0,0,3,6,672.952,3.0
half_cheetah,0,0,4,4,1068.5,5.0
half_cheetah,0,0,3,8,901.091,4.0
half_cheetah,0,0,4,2,912.3,4.0
half_cheetah,0,0,4,6,1134.3,5.0
half_cheetah,0,0,4,0,1038.49,5.0
half_cheetah,0,0,4,7,1058.12,5.0
half_cheetah,0,0,4,5,893.855,4.0
half_cheetah,0,0,4,3,853.349,4.0
half_cheetah,0,0,4,8,924.469,4.0
half_cheetah,0,0,4,9,855.266,4.0
half_cheetah,0,1,0,0,42.8379,0.0
half_cheetah,0,1,0,1,75.5139,0.0
